2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 2.335
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-03-17 23:53:03,999 - DEBUG - findfont: score(FontEntry(fname='/Users/jgafur/env/lth_env/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 3.335
