model,dataset,attack,n_original,n_finetuned,mean_asr_original,std_asr_original,mean_asr_finetuned,std_asr_finetuned,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
RegNetX_400MF,Cifar10|epochs3_pretrain3,BIM,1,1,0.9695,,0.8915,,-0.07800000000000007,,,,False,0.07800000000000007
RegNetX_400MF,Cifar10|epochs3_pretrain3,CW,1,1,0.996,,0.983,,-0.013000000000000012,,,,False,0.013000000000000012
RegNetX_400MF,Cifar10|epochs3_pretrain3,DeepFool,1,1,0.9441,,0.95,,0.005899999999999905,,,,False,0.005899999999999905
RegNetX_400MF,Cifar10|epochs3_pretrain3,FGSM,1,1,0.8271999999999999,,0.8377,,0.010500000000000065,,,,False,0.010500000000000065
RegNetX_400MF,Cifar10|epochs3_pretrain3,PGD,1,1,0.9705,,0.9384,,-0.03210000000000002,,,,False,0.03210000000000002
VGG16,Cifar100|epochs100_pretrain300,APGD,1,1,0.9832,,0.9762,,-0.007000000000000006,,,,False,0.007000000000000006
VGG16,Cifar100|epochs100_pretrain300,BIM,1,1,0.7954,,0.7274,,-0.06799999999999995,,,,False,0.06799999999999995
VGG16,Cifar100|epochs100_pretrain300,CW,1,1,0.9996,,0.998,,-0.0016000000000000458,,,,False,0.0016000000000000458
VGG16,Cifar100|epochs100_pretrain300,FGSM,1,1,0.8972,,0.8251,,-0.07210000000000005,,,,False,0.07210000000000005
VGG16,Cifar100|epochs100_pretrain300,PGD,1,1,0.97,,0.9568,,-0.01319999999999999,,,,False,0.01319999999999999
VGG16,Cifar100|epochs3_pretrain3,APGD,1,1,0.9934,,0.975,,-0.018399999999999972,,,,False,0.018399999999999972
VGG16,Cifar100|epochs3_pretrain3,BIM,1,1,0.9373,,0.8113,,-0.126,,,,False,0.126
VGG16,Cifar100|epochs3_pretrain3,CW,1,1,0.9905,,0.9803,,-0.010200000000000098,,,,False,0.010200000000000098
VGG16,Cifar100|epochs3_pretrain3,FGSM,1,1,0.9703,,0.9366,,-0.03370000000000006,,,,False,0.03370000000000006
VGG16,Cifar100|epochs3_pretrain3,PGD,1,1,0.9791,,0.9559,,-0.0232,,,,False,0.0232
VGG16,Cifar10|epochs100_pretrain300,APGD,1,1,0.8878,,0.9499,,0.06209999999999993,,,,False,0.06209999999999993
VGG16,Cifar10|epochs100_pretrain300,BIM,2,2,0.3481499999999999,7.071067811864696e-05,0.47895,7.071067811864696e-05,0.13080000000000008,1308.0000000001448,0.0004867122693675864,,True,0.13080000000000008
VGG16,Cifar10|epochs100_pretrain300,CW,1,1,0.9992,,0.9881,,-0.011099999999999999,,,,False,0.011099999999999999
VGG16,Cifar10|epochs100_pretrain300,DeepFool,1,1,0.8203,,0.7739,,-0.0464,,,,False,0.0464
