model,dataset,attack,original_clean_acc,original_robust_accuracy,original_attack_success_rate,original_relative_accuracy_drop,original_robustness_ratio,original_param_count,collapsed_clean_acc,collapsed_robust_accuracy,collapsed_attack_success_rate,collapsed_relative_accuracy_drop,collapsed_robustness_ratio,collapsed_param_count,collapsed_minus_original_attack_success_rate,collapsed_minus_original_robust_accuracy,collapsed_minus_original_relative_accuracy_drop,collapsed_minus_original_robustness_ratio,params_reduction_percent
InceptionNet,Cifar100,BIM,0.5491,0.2993,0.7007,0.4549262429429976,0.5450737570570023,6083332.0,0.5741,0.3598,0.6402,0.3732799163908727,0.6267200836091272,3901476.0,-0.0605,0.0605,-0.08164632655212489,0.08164632655212489,35.8661338884677
InceptionNet,Cifar100,CW,0.5491,0.0035,0.9965,0.9936259333454746,0.0063740666545255,6083332.0,0.5741,0.015,0.985,0.9738721477094584,0.0261278522905417,3901476.0,-0.011500000000000066,0.0115,-0.019753785636016152,0.019753785636016197,35.8661338884677
InceptionNet,Cifar100,FGSM,0.5491,0.1351,0.8649,0.7539610271353123,0.2460389728646876,6083332.0,0.5741,0.1576,0.8424,0.7254833652673751,0.2745166347326249,3901476.0,-0.022499999999999964,0.022499999999999992,-0.02847766186793721,0.028477661867937293,35.8661338884677
InceptionNet,Cifar100,PGD,0.5491,0.0598,0.9402,0.891094518302677,0.1089054816973228,6083332.0,0.5741,0.0847,0.9153,0.8524647273994078,0.1475352726005922,3901476.0,-0.024900000000000033,0.0249,-0.038629790903269234,0.038629790903269415,35.8661338884677
RegNetX_400MF,Cifar10,APGD,0.7167,0.0416,0.9584,0.9419561880842752,0.0580438119157248,4776362.0,0.7868,0.0899,0.9101,0.885739705134723,0.114260294865277,3997610.0,-0.04830000000000001,0.048299999999999996,-0.05621648294955217,0.0562164829495522,16.30429184387615
RegNetX_400MF,Cifar10,BIM,0.7167,0.3827,0.6173,0.466024836054137,0.533975163945863,4776362.0,0.7868,0.5392,0.4608,0.3146924250127097,0.6853075749872902,3997610.0,-0.15649999999999997,0.15650000000000003,-0.1513324110414273,0.15133241104142725,16.30429184387615
RegNetX_400MF,Cifar10,CW,0.7167,0.0047,0.9953,0.9934421654806752,0.0065578345193246,4776362.0,0.7868,0.011,0.989,0.9860193187595324,0.0139806812404677,3997610.0,-0.006299999999999972,0.006299999999999999,-0.007422846721142795,0.0074228467211430995,16.30429184387615
RegNetX_400MF,Cifar10,DeepFool,0.7167,0.1143,0.8857,0.8405190456257849,0.1594809543742151,4776362.0,0.7868,0.1355,0.8645,0.8277834265378748,0.172216573462125,3997610.0,-0.021199999999999997,0.02120000000000001,-0.0127356190879101,0.012735619087909877,16.30429184387615
RegNetX_400MF,Cifar10,FGSM,0.7167,0.2338,0.7662,0.6737826147621041,0.3262173852378959,4776362.0,0.7868,0.3057,0.6942999999999999,0.6114641586171835,0.3885358413828165,3997610.0,-0.07190000000000007,0.07190000000000002,-0.0623184561449206,0.0623184561449206,16.30429184387615
RegNetX_400MF,Cifar10,PGD,0.7167,0.0826,0.9174,0.8847495465327194,0.1152504534672806,4776362.0,0.7868,0.1506,0.8493999999999999,0.8085917641077784,0.1914082358922216,3997610.0,-0.06800000000000006,0.068,-0.07615778242494098,0.076157782424941,16.30429184387615
RegNetX_400MF,Cifar100,BIM,0.3529,0.1518,0.8482000000000001,0.5698498158118447,0.4301501841881552,4811012.0,0.3991,0.1932,0.8068,0.5159107992984214,0.4840892007015785,4032260.0,-0.0414000000000001,0.04140000000000002,-0.053939016513423255,0.05393901651342331,16.18686463471719
RegNetX_400MF,Cifar100,CW,0.3529,0.0006,0.9994,0.998299801643525,0.0017001983564749,4811012.0,0.3991,0.0013,0.9987,0.996742671009772,0.003257328990228,4032260.0,-0.0006999999999999229,0.0007,-0.0015571306337530677,0.0015571306337531002,16.18686463471719
RegNetX_400MF,Cifar100,DeepFool,0.3529,0.0177,0.9823,0.9498441484839898,0.0501558515160102,4811012.0,0.3991,0.0247,0.9753,0.9381107491856676,0.0618892508143322,4032260.0,-0.007000000000000006,0.006999999999999999,-0.011733399298322178,0.011733399298321998,16.18686463471719
