model,dataset,kind,model_label,param_count,flops,latency_ms,throughput_imgs_s,peak_memory_mb,robust_accuracy,attack_success_rate,transfer_success_rate,transfer_resistance,explainability_delta_asr,explainability_shap_cosine_similarity,explainability_shap_pearson_r,explainability_shap_spearman_r,explainability_shap_topk_jaccard,explainability_shap_l1_mean_abs_diff,explainability_shap_l2_distance,explainability_shap_pair_count,robustness_per_flop,transfer_resistance_per_latency
InceptionNet,Cifar10_epochs100_pretrain300,Finetuned,InceptionNet (Finetuned),3809226,,7.7268593944609165,33131.18395599594,6277.18798828125,0.4248,0.5751999999999999,,,-0.0240333333333333,,,,,,,,,
InceptionNet,Cifar10_epochs300_pretrain100,Finetuned,InceptionNet (Finetuned),4400554,,7.490213587880135,34177.930575201746,6277.18798828125,0.41253333333333336,0.5874666666666666,,,0.0085499999999999,,,,,,,,,
InceptionNet,Cifar10_epochs200_pretrain200,Finetuned,InceptionNet (Finetuned),4049962,,7.639471138827503,33510.17306667783,6277.18798828125,0.4207666666666667,0.5792333333333334,,,0.0004999999999999,,,,,,,,,
InceptionNet,Cifar10_epochs3_pretrain3,Finetuned,InceptionNet (Finetuned),3809226,,7.693689363077283,33274.02341308025,6277.18798828125,0.26766666666666666,0.7323333333333334,,,-0.0307333333333333,,,,,,,,,
InceptionNet,Cifar10_epochs100_pretrain300,Original,InceptionNet (Original),5991082,,7.981496001593768,32074.18758950467,6277.18798828125,0.40076666666666666,0.5992333333333334,,,-0.0240333333333333,,,,,,,,,
InceptionNet,Cifar10_epochs300_pretrain100,Original,InceptionNet (Original),5991082,,8.72692121192813,29334.514863053206,6277.18798828125,0.5441,0.45589999999999997,,,0.0085499999999999,,,,,,,,,
InceptionNet,Cifar10_epochs200_pretrain200,Original,InceptionNet (Original),5991082,,8.055821503512561,31778.261210030152,6277.18798828125,0.54145,0.45855,,,0.0004999999999999,,,,,,,,,
InceptionNet,Cifar10_epochs3_pretrain3,Original,InceptionNet (Original),5991082,,8.662411151453853,29552.972668243106,6277.18798828125,0.23693333333333336,0.7630666666666667,,,-0.0307333333333333,,,,,,,,,
InceptionNet,Cifar100_epochs200_pretrain200,Finetuned,InceptionNet (Finetuned),3638308,,7.061188807711005,36254.51846301592,6277.27587890625,0.20186666666666667,0.7981333333333334,,,-0.0238333333333333,,,,,,,,,
InceptionNet,Cifar100_epochs3_pretrain3,Finetuned,InceptionNet (Finetuned),4492804,,7.448363909497857,34369.96407674966,6277.27587890625,0.08103333333333333,0.9189666666666666,,,-0.0086,,,,,,,,,
InceptionNet,Cifar100_epochs100_pretrain300,Finetuned,InceptionNet (Finetuned),3901476,,9.293880220502615,27545.007459344626,6277.27587890625,0.20079999999999998,0.7991999999999999,,,-0.0358666666666666,,,,,,,,,
InceptionNet,Cifar100_epochs300_pretrain100,Finetuned,InceptionNet (Finetuned),3638308,,7.918654312379657,32328.725298663616,6277.27587890625,0.18883333333333333,0.8111666666666667,,,-0.0062333333333333,,,,,,,,,
InceptionNet,Cifar100_epochs200_pretrain200,Original,InceptionNet (Original),6083332,,8.026515995152295,31894.28640703066,6277.27587890625,0.17803333333333335,0.8219666666666666,,,-0.0238333333333333,,,,,,,,,
InceptionNet,Cifar100_epochs3_pretrain3,Original,InceptionNet (Original),6083332,,7.477500452660024,34236.03938518403,6277.27587890625,0.07243333333333334,0.9275666666666668,,,-0.0086,,,,,,,,,
InceptionNet,Cifar100_epochs100_pretrain300,Original,InceptionNet (Original),6083332,,8.040547813288867,31838.62666383262,6277.27587890625,0.16493333333333335,0.8350666666666667,,,-0.0358666666666666,,,,,,,,,
InceptionNet,Cifar100_epochs300_pretrain100,Original,InceptionNet (Original),6083332,,8.933895849622786,28654.912068491267,6277.27587890625,0.18259999999999998,0.8174,,,-0.0062333333333333,,,,,,,,,
