model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
ConvNeXt,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,PGD,ConvNeXt (Pruned Finetuned Quantized),843176,0.0034,0.0006,0.0006,0.9966,0.9994,0.9994,0.0028,0.823529411764706,0.1764705882352941
ConvNeXt,Cifar100_epochs200_pretrain200,Control_Continuted,PGD,ConvNeXt (Control Continued),27897028,0.416,0.0476,0.0476,0.5840000000000001,0.9524,0.9524,0.3683999999999999,0.885576923076923,0.1144230769230769
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,PGD,ConvNeXt (Pruned Finetuned),2551876,0.0146,0.0071,0.0071,0.9854,0.9929,0.9929,0.0075,0.5136986301369862,0.4863013698630137
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,PGD,ConvNeXt (Pruned Finetuned Quantized),2551876,0.0066,0.003,0.003,0.9934,0.997,0.997,0.0036,0.5454545454545454,0.4545454545454545
ConvNeXt,Cifar100_epochs200_pretrain200,Control_Continuted,BIM,ConvNeXt (Control Continued),27897028,0.416,0.2271,0.2271,0.5840000000000001,0.7729,0.7729,0.1888999999999999,0.4540865384615384,0.5459134615384615
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),2551876,0.013,0.0045,0.0045,0.987,0.9955,0.9955,0.0085,0.653846153846154,0.3461538461538461
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),2551876,0.0107,0.0035,0.0035,0.9893,0.9965,0.9965,0.0072,0.6728971962616822,0.3271028037383178
ConvNeXt,Cifar10_epochs200_pretrain200,Control_Continuted,APGD,ConvNeXt (Control Continued),27827818,0.7534,0.1432,0.1432,0.2466,0.8568,0.8568,0.6102,0.8099283249269976,0.1900716750730024
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,APGD,ConvNeXt (Pruned Finetuned),2482666,0.1115,0.0665,0.0665,0.8885,0.9335,0.9335,0.045,0.4035874439461883,0.5964125560538117
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,APGD,ConvNeXt (Pruned Finetuned Quantized),2482666,0.0825,0.0177,0.0177,0.9175,0.9823,0.9823,0.0648,0.7854545454545454,0.2145454545454545
ConvNeXt,tinyimagenet_epochs200_pretrain200,Control_Continuted,APGD,ConvNeXt (Control Continued),27973928,0.0055,0.0001,0.0001,0.9945,0.9999,0.9999,0.0053999999999999,0.9818181818181818,0.0181818181818181
ConvNeXt,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined,APGD,ConvNeXt (Pruned Finetuned),843176,0.0039,0.0001,0.0001,0.9961,0.9999,0.9999,0.0038,0.9743589743589745,0.0256410256410256
ConvNeXt,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,APGD,ConvNeXt (Pruned Finetuned Quantized),843176,0.0034,0.0001,0.0001,0.9966,0.9999,0.9999,0.0033,0.9705882352941176,0.0294117647058823
ConvNeXt,Cifar10_epochs200_pretrain200,Control_Continuted,PGD,ConvNeXt (Control Continued),27827818,0.7535,0.1984,0.1984,0.2465,0.8016,0.8016,0.5550999999999999,0.7366954213669542,0.2633045786330458
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined,PGD,ConvNeXt (Pruned Finetuned),2482666,0.0699,0.0382,0.0382,0.9301,0.9618,0.9618,0.0317,0.4535050071530759,0.5464949928469242
ConvNeXt,Cifar10_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,PGD,ConvNeXt (Pruned Finetuned Quantized),2482666,0.1016,0.0769,0.0769,0.8984,0.9231,0.9231,0.0247,0.2431102362204724,0.7568897637795275
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),2551876,0.0105,0.0034,0.0034,0.9895,0.9966,0.9966,0.0071,0.6761904761904762,0.3238095238095237
ConvNeXt,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),2551876,0.0139,0.0075,0.0075,0.9861,0.9925,0.9925,0.0063999999999999,0.4604316546762589,0.539568345323741
VGG16,Cifar10_epochs200_pretrain200,Control_Continuted,CW,VGG16 (Control Continued),33663050,0.9289,0.0121,0.0121,0.0711,0.9879,0.9879,0.9168,0.986973840025837,0.0130261599741629
XceptionNet,Cifar100_epochs200_pretrain200,Control_Continuted,PGD,XceptionNet (Control Continued),21011852,0.5944,0.0862,0.0862,0.4055999999999999,0.9138,0.9138,0.5082,0.854979811574697,0.1450201884253028
XceptionNet,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined,PGD,XceptionNet (Pruned Finetuned),13481196,0.6003,0.0835,0.0835,0.3997,0.9165,0.9165,0.5167999999999999,0.8609028818923871,0.1390971181076128
XceptionNet,Cifar100_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,PGD,XceptionNet (Pruned Finetuned Quantized),13481196,0.5947,0.0828,0.0828,0.4053,0.9172,0.9172,0.5119,0.8607701362031277,0.1392298637968723
ConvNeXt,tinyimagenet_epochs200_pretrain200,Control_Continuted,FGSM,ConvNeXt (Control Continued),27973928,0.0055,0.0138,0.0138,0.9945,0.9862,0.9862,-0.0083,-1.5090909090909093,2.5090909090909093
ConvNeXt,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined,FGSM,ConvNeXt (Pruned Finetuned),843176,0.0039,0.0024,0.0024,0.9961,0.9976,0.9976,0.0015,0.3846153846153846,0.6153846153846153
ConvNeXt,tinyimagenet_epochs200_pretrain200,Dynamic_Region_All_Combined_quant,FGSM,ConvNeXt (Pruned Finetuned Quantized),843176,0.0034,0.0053,0.0053,0.9966,0.9947,0.9947,-0.0019,-0.5588235294117648,1.5588235294117647
