model,dataset,kind,attack,model_label,param_count,latency_ms,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,InceptionNet (Pruned Finetuned Quantized),3901476,29.00266869692132,0.5736,0.06,0.06,0.4264,0.94,0.94,0.5136000000000001,0.8953974895397491,0.104602510460251
InceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,InceptionNet (Control Continued),6083332,31.57585208537057,0.5658,0.3333,0.3333,0.4342,0.6667000000000001,0.6667000000000001,0.2324999999999999,0.4109225874867444,0.5890774125132556
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,InceptionNet (Pruned Finetuned),3901476,30.782244086731225,0.5741,0.36,0.36,0.4258999999999999,0.64,0.64,0.2141,0.3729315450269989,0.6270684549730011
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,InceptionNet (Pruned Finetuned Quantized),3901476,47.32202102895826,0.5738,0.3624,0.3624,0.4262,0.6376,0.6376,0.2113999999999999,0.3684210526315789,0.6315789473684211
InceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,CW,InceptionNet (Control Continued),6083332,81.42942697741091,0.5658,0.003,0.003,0.4342,0.997,0.997,0.5628,0.9946977730646872,0.0053022269353128
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,InceptionNet (Pruned Finetuned),3901476,41.60811230540276,0.5741,0.0151,0.0151,0.4258999999999999,0.9849,0.9849,0.559,0.9736979620275212,0.0263020379724786
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,InceptionNet (Pruned Finetuned Quantized),3901476,38.26045356690884,0.5738,0.0217,0.0217,0.4262,0.9783,0.9783,0.5520999999999999,0.9621819449285464,0.0378180550714534
InceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,DeepFool,InceptionNet (Control Continued),6083332,71.79298346163705,0.5658,0.0621,0.0621,0.4342,0.9379,0.9379,0.5036999999999999,0.8902439024390243,0.1097560975609756
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,DeepFool,InceptionNet (Pruned Finetuned),3901476,37.89468766190112,0.5741,0.0663,0.0663,0.4258999999999999,0.9337,0.9337,0.5078,0.8845148928758055,0.1154851071241943
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,DeepFool,InceptionNet (Pruned Finetuned Quantized),3901476,36.63854157784954,0.5738,0.0668,0.0668,0.4262,0.9332,0.9332,0.507,0.8835831300104566,0.1164168699895434
InceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,FGSM,InceptionNet (Control Continued),6083332,28.20278878789395,0.5658,0.1447,0.1447,0.4342,0.8553,0.8553,0.4211,0.7442559208200777,0.2557440791799222
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,InceptionNet (Pruned Finetuned),3901476,32.36419648164883,0.5741,0.1576,0.1576,0.4258999999999999,0.8424,0.8424,0.4165000000000001,0.7254833652673751,0.2745166347326249
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,InceptionNet (Pruned Finetuned Quantized),3901476,30.897616734728217,0.5738,0.1575,0.1575,0.4262,0.8425,0.8425,0.4163,0.72551411641687,0.27448588358313
InceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,InceptionNet (Control Continued),6083332,31.652367929928005,0.5658,0.3333,0.3333,0.4342,0.6667000000000001,0.6667000000000001,0.2324999999999999,0.4109225874867444,0.5890774125132556
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,InceptionNet (Pruned Finetuned),3901476,43.382700032088906,0.5741,0.36,0.36,0.4258999999999999,0.64,0.64,0.2141,0.3729315450269989,0.6270684549730011
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,InceptionNet (Pruned Finetuned Quantized),3901476,41.55371770029888,0.5738,0.3624,0.3624,0.4262,0.6376,0.6376,0.2113999999999999,0.3684210526315789,0.6315789473684211
InceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,PGD,InceptionNet (Control Continued),6083332,26.1509099858813,0.5658,0.0724,0.0724,0.4342,0.9276,0.9276,0.4933999999999999,0.872039589961117,0.127960410038883
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,InceptionNet (Pruned Finetuned),3901476,49.803907447494566,0.5741,0.0851,0.0851,0.4258999999999999,0.9149,0.9149,0.489,0.85176798467166,0.14823201532834
InceptionNet,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,InceptionNet (Pruned Finetuned Quantized),3901476,63.3370722993277,0.5738,0.0862,0.0862,0.4262,0.9138,0.9138,0.4876,0.8497734402230742,0.1502265597769257
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,APGD,InceptionNet (Control Continued),5991082,24.185385194141418,0.8596,0.1791,0.1791,0.1403999999999999,0.8209,0.8209,0.6805,0.7916472778036295,0.2083527221963704
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,InceptionNet (Pruned Finetuned),3809226,51.25215675216168,0.8633,0.1796,0.1796,0.1367,0.8204,0.8204,0.6837,0.7919610795783621,0.2080389204216379
