model,dataset,attack,baseline_kind,variant_kind,n_baseline,n_variant,mean_asr_baseline,std_asr_baseline,mean_asr_variant,std_asr_variant,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
InceptionNet,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8553,,0.8425,,-0.012799999999999923,,,,False,0.012799999999999923
InceptionNet,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9276,,0.9149,,-0.012699999999999934,,,,False,0.012699999999999934
InceptionNet,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9276,,0.9138,,-0.013800000000000034,,,,False,0.013800000000000034
InceptionNet,Cifar10_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8209,,0.8204,,-0.0004999999999999449,,,,False,0.0004999999999999449
InceptionNet,Cifar10_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8209,,0.8073,,-0.013599999999999945,,,,False,0.013599999999999945
InceptionNet,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.3202,0.0,0.3198999999999999,0.0,-0.000300000000000078,-inf,0.0,,True,0.000300000000000078
InceptionNet,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.3202,0.0,0.312,0.0,-0.008199999999999985,-inf,0.0,,True,0.008199999999999985
InceptionNet,Cifar10_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9878,,0.9821,,-0.005700000000000038,,,,False,0.005700000000000038
InceptionNet,Cifar10_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9878,,0.9816,,-0.006199999999999983,,,,False,0.006199999999999983
InceptionNet,Cifar10_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.5919,,0.5849,,-0.007000000000000006,,,,False,0.007000000000000006
InceptionNet,Cifar10_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.5919,,0.5749,,-0.017000000000000015,,,,False,0.017000000000000015
InceptionNet,Cifar10_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.748,,0.7463,,-0.0017000000000000348,,,,False,0.0017000000000000348
InceptionNet,Cifar10_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.748,,0.7351,,-0.012900000000000023,,,,False,0.012900000000000023
InceptionNet,tinyimagenet_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9994,,0.9994,,0.0,,,,False,0.0
InceptionNet,tinyimagenet_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9994,,0.9998,,0.00040000000000006697,,,,False,0.00040000000000006697
InceptionNet,tinyimagenet_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.9977,0.0,0.9984,0.0,0.0006999999999999229,inf,0.0,,True,0.0006999999999999229
