model,dataset,attack,baseline_clean_acc,baseline_robust_accuracy,baseline_attack_success_rate,baseline_relative_accuracy_drop,baseline_robustness_ratio,baseline_param_count,variant_clean_acc,variant_robust_accuracy,variant_attack_success_rate,variant_relative_accuracy_drop,variant_robustness_ratio,variant_param_count,baseline_kind,variant_kind,variant_minus_baseline_attack_success_rate,variant_minus_baseline_robust_accuracy,variant_minus_baseline_relative_accuracy_drop,variant_minus_baseline_robustness_ratio,params_reduction_percent
RegNetX_400MF,Cifar100_epochs100_pretrain300,FGSM,0.3577,0.0607,0.9393,0.8303047246295779,0.1696952753704221,4811012.0,0.3991,0.0732,0.9268,0.816587321473315,0.183412678526685,4032260.0,Control_Continuted,Dynamic_Region_All_Combined,-0.012500000000000067,0.012500000000000004,-0.013717403156262908,0.013717403156262908,16.18686463471719
RegNetX_400MF,Cifar100_epochs100_pretrain300,PGD,0.3577,0.0241,0.9759,0.9326251048364552,0.0673748951635448,4811012.0,0.3991,0.0296,0.9704,0.925833124530193,0.074166875469807,4032260.0,Control_Continuted,Dynamic_Region_All_Combined,-0.005499999999999949,0.005500000000000001,-0.0067919803062622686,0.006791980306262199,16.18686463471719
RegNetX_400MF,Cifar10_epochs100_pretrain300,APGD,0.7411,0.0866,0.9134,0.8831466738631764,0.1168533261368236,4776362.0,0.7868,0.0905,0.9095,0.8849771225216064,0.1150228774783934,3997610.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0039000000000000146,0.0039000000000000007,0.0018304486584300728,-0.0018304486584301977,16.30429184387615
RegNetX_400MF,Cifar10_epochs100_pretrain300,BIM,0.7411,0.5198,0.4801999999999999,0.2986101740655781,0.7013898259344219,4776362.0,0.7868,0.5394,0.4606,0.3144382308083376,0.6855617691916623,3997610.0,Control_Continuted,Dynamic_Region_All_Combined,-0.019599999999999895,0.01959999999999995,0.0158280567427595,-0.015828056742759555,16.30429184387615
RegNetX_400MF,Cifar10_epochs100_pretrain300,CW,0.7411,0.0798,0.9202,0.8923222237214951,0.1076777762785049,4776362.0,0.7868,0.0716,0.9284,0.9089984748347738,0.0910015251652262,3997610.0,Control_Continuted,Dynamic_Region_All_Combined,0.008199999999999985,-0.008199999999999999,0.01667625111327875,-0.01667625111327871,16.30429184387615
RegNetX_400MF,Cifar10_epochs100_pretrain300,DeepFool,0.7411,0.1108,0.8892,0.8504925111321009,0.149507488867899,4776362.0,0.7868,0.1389,0.8611,0.8234621250635485,0.1765378749364514,3997610.0,Control_Continuted,Dynamic_Region_All_Combined,-0.028100000000000014,0.0281,-0.027030386068552348,0.027030386068552403,16.30429184387615
RegNetX_400MF,Cifar10_epochs100_pretrain300,FGSM,0.7411,0.2719,0.7281,0.6331129402239913,0.3668870597760086,4776362.0,0.7868,0.3065,0.6935,0.610447381799695,0.389552618200305,3997610.0,Control_Continuted,Dynamic_Region_All_Combined,-0.034599999999999964,0.03460000000000002,-0.022665558424296295,0.022665558424296406,16.30429184387615
RegNetX_400MF,Cifar10_epochs100_pretrain300,PGD,0.7411,0.1416,0.8584,0.8089326676561867,0.1910673323438132,4776362.0,0.7868,0.1514,0.8486,0.8075749872902899,0.1924250127097102,3997610.0,Control_Continuted,Dynamic_Region_All_Combined,-0.009800000000000031,0.009800000000000003,-0.001357680365896785,0.0013576803658970071,16.30429184387615
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,APGD,0.0038,0.0001,0.9999,0.9736842105263158,0.0263157894736842,4849512.0,0.0037,0.0001,0.9999,0.972972972972973,0.027027027027027,3624552.0,Control_Continuted,Dynamic_Region_All_Combined,0.0,0.0,-0.0007112375533427917,0.0007112375533428021,25.25944878577473
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,CW,0.0038,0.0013,0.9987,0.6578947368421053,0.3421052631578947,4849512.0,0.0037,0.0019,0.9981,0.4864864864864865,0.5135135135135135,3624552.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0006000000000000449,0.0006000000000000001,-0.1714082503556188,0.1714082503556188,25.25944878577473
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,DeepFool,0.0038,0.0008,0.9992,0.7894736842105263,0.2105263157894737,4849512.0,0.0037,0.0013,0.9987,0.6486486486486487,0.3513513513513513,3624552.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0004999999999999449,0.0004999999999999999,-0.14082503556187764,0.14082503556187762,25.25944878577473
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,PGD,0.0038,0.0008,0.9992,0.7894736842105263,0.2105263157894737,4849512.0,0.0037,0.001,0.999,0.7297297297297297,0.2702702702702703,3624552.0,Control_Continuted,Dynamic_Region_All_Combined,-0.00019999999999997797,0.00019999999999999998,-0.05974395448079661,0.059743954480796585,25.25944878577473
VGG16,Cifar100_epochs100_pretrain300,APGD,0.6087,0.0201,0.9799,0.9669788072942336,0.0330211927057663,34031780.0,0.6785,0.0238,0.9762,0.9649226234340456,0.0350773765659543,22623396.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0037000000000000366,0.003700000000000002,-0.002056183860188021,0.0020561838601880003,33.522736689059464
VGG16,Cifar100_epochs100_pretrain300,BIM,0.6087,0.2666,0.7334,0.5620174141613274,0.4379825858386725,34031780.0,0.6785,0.2727,0.7273000000000001,0.5980840088430361,0.4019159911569639,22623396.0,Control_Continuted,Dynamic_Region_All_Combined,-0.006099999999999994,0.006099999999999994,0.0360665946817087,-0.036066594681708586,33.522736689059464
VGG16,Cifar100_epochs100_pretrain300,CW,0.6087,0.0018,0.9982,0.9970428782651553,0.0029571217348447,34031780.0,0.6785,0.002,0.998,0.9970523212969786,0.0029476787030213,22623396.0,Control_Continuted,Dynamic_Region_All_Combined,-0.00019999999999997797,0.0002000000000000001,9.443031823375136e-06,-9.443031823399856e-06,33.522736689059464
VGG16,Cifar100_epochs100_pretrain300,DeepFool,0.6087,0.0598,0.9402,0.9017578445868244,0.0982421554131756,34031780.0,0.6785,0.0965,0.9035,0.8577745025792188,0.1422254974207811,22623396.0,Control_Continuted,Dynamic_Region_All_Combined,-0.036700000000000066,0.0367,-0.043983342007605564,0.04398334200760551,33.522736689059464
VGG16,Cifar100_epochs100_pretrain300,FGSM,0.6087,0.1206,0.8794,0.8018728437654017,0.1981271562345983,34031780.0,0.6785,0.1749,0.8251,0.7422254974207813,0.2577745025792188,22623396.0,Control_Continuted,Dynamic_Region_All_Combined,-0.054300000000000015,0.0543,-0.05964734634462043,0.05964734634462049,33.522736689059464
VGG16,Cifar100_epochs100_pretrain300,PGD,0.6087,0.038,0.962,0.9375718744866108,0.0624281255133891,34031780.0,0.6785,0.0427,0.9573,0.9370670596904938,0.0629329403095062,22623396.0,Control_Continuted,Dynamic_Region_All_Combined,-0.0046999999999999265,0.004700000000000003,-0.0005048147961170812,0.0005048147961171021,33.522736689059464
